id;first_name;last_name;date_of_birth;date_of_incarceration;date_of_expected_release
1;Willow;Metz;2023-05-20;2023-05-20;2023-05-20
2;Arely;Gibson;2023-05-19;2023-05-20;2023-05-19
3;Juanita;Osinski;2023-05-20;2023-05-20;2023-05-20
4;Krista;Mitchell;2023-05-19;2023-05-20;2023-05-19
5;Jalen;Bosco;2023-05-19;2023-05-20;2023-05-19
6;Rosemarie;Franecki;2023-05-19;2023-05-20;2023-05-20
7;Antonietta;Ward;2023-05-20;2023-05-19;2023-05-20
8;Manley;Kirlin;2023-05-20;2023-05-20;2023-05-20
9;Sunny;Hegmann;2023-05-20;2023-05-20;2023-05-20
10;Zackery;Kuhn;2023-05-20;2023-05-20;2023-05-20
